District,District Name,Nom de Circonscription,Type of results*,Type de résultats**,Surname - Nom de famille,Middle name(s) - Autre(s) prénom(s),Given name - Prénom,party,Appartenance politique,Votes obtained - Votes obtenus,% Votes obtained - Votes obtenus %,Rejected ballots - Bulletins rejetés***,Total number of ballots cast - Nombre total de votes déposés
12003,Cumberland--Colchester,Cumberland--Colchester,validated,validés,Duchesne,,Larry,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5451,12,447,45897
12003,Cumberland--Colchester,Cumberland--Colchester,validated,validés,Garvey,,Stephen J,National Citizens Alliance,Alliance Nationale Citoyens,109,.2,447,45897
12003,Cumberland--Colchester,Cumberland--Colchester,validated,validés,O'Blenis,,Jody,VCP,CAC,144,.3,447,45897
12003,Cumberland--Colchester,Cumberland--Colchester,validated,validés,Rushton,,Matthew V.,Independent,Indépendant(e),232,.5,447,45897
12003,Cumberland--Colchester,Cumberland--Colchester,validated,validés,Zann,,Lenore,Liberal,Libéral,16672,36.7,447,45897
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,preliminary,préliminaires,Cole,,Jason,Conservative,Conservateur,8480,16.1,0,52585
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,preliminary,préliminaires,Fisher,,Darren,Liberal,Libéral,23751,45.2,0,52585
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,preliminary,préliminaires,Lindsay,,Michelle,People's Party,Parti populaire,937,1.8,0,52585
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,preliminary,préliminaires,MacPherson,,Lil,Green Party,Parti Vert,5197,9.9,0,52585
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,preliminary,préliminaires,Norton,,Emma,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,14220,27,0,52585
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,validated,validés,Cole,,Jason,Conservative,Conservateur,8638,16.1,404,53903
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,validated,validés,Fisher,,Darren,Liberal,Libéral,24259,45.3,404,53903
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,validated,validés,Lindsay,,Michelle,People's Party,Parti populaire,887,1.7,404,53903
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,validated,validés,MacPherson,,Lil,Green Party,Parti Vert,5280,9.9,404,53903
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,validated,validés,Norton,,Emma,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,14435,27,404,53903
12005,Halifax,Halifax,preliminary,préliminaires,Fillmore,,Andy,Liberal,Libéral,23088,42.4,0,54489
12005,Halifax,Halifax,preliminary,préliminaires,Holland,,Bruce,Conservative,Conservateur,6214,11.4,0,54489
12005,Halifax,Halifax,preliminary,préliminaires,McGenn,,Duncan,People's Party,Parti populaire,605,1.1,0,54489
12005,Halifax,Halifax,preliminary,préliminaires,Roberts,,Jo-Ann,Green Party,Parti Vert,7762,14.2,0,54489
12005,Halifax,Halifax,preliminary,préliminaires,Saulnier,,Christine,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,16594,30.5,0,54489
12005,Halifax,Halifax,preliminary,préliminaires,Wilson,,Bill,Animal Protection Party,Parti Protection Animaux,226,.4,0,54489
12005,Halifax,Halifax,validated,validés,Fillmore,,Andy,Liberal,Libéral,23681,42.5,361,56113
12005,Halifax,Halifax,validated,validés,Holland,,Bruce,Conservative,Conservateur,6456,11.6,361,56113
12005,Halifax,Halifax,validated,validés,McGenn,,Duncan,People's Party,Parti populaire,633,1.1,361,56113
12005,Halifax,Halifax,validated,validés,Roberts,,Jo-Ann,Green Party,Parti Vert,8013,14.4,361,56113
12005,Halifax,Halifax,validated,validés,Saulnier,,Christine,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,16747,30,361,56113
12005,Halifax,Halifax,validated,validés,Wilson,,Bill,Animal Protection Party,Parti Protection Animaux,222,.4,361,56113
12006,Halifax West,Halifax-Ouest,preliminary,préliminaires,Regan,,Geoff,Liberal,Libéral,26884,49.5,0,54356
12006,Halifax West,Halifax-Ouest,preliminary,préliminaires,Shuman,,Fred,Conservative,Conservateur,10488,19.3,0,54356
12006,Halifax West,Halifax-Ouest,preliminary,préliminaires,Wilson,,Jacob,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10429,19.2,0,54356
12006,Halifax West,Halifax-Ouest,preliminary,préliminaires,Zurawski,,Richard,Green Party,Parti Vert,6555,12.1,0,54356
12006,Halifax West,Halifax-Ouest,validated,validés,Regan,,Geoff,Liberal,Libéral,26885,49.5,465,54822
12006,Halifax West,Halifax-Ouest,validated,validés,Shuman,,Fred,Conservative,Conservateur,10488,19.3,465,54822
12006,Halifax West,Halifax-Ouest,validated,validés,Wilson,,Jacob,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10429,19.2,465,54822
12006,Halifax West,Halifax-Ouest,validated,validés,Zurawski,,Richard,Green Party,Parti Vert,6555,12.1,465,54822
12007,Kings--Hants,Kings--Hants,preliminary,préliminaires,Anderson,,Brogan,Green Party,Parti Vert,6029,12.6,0,48035
12007,Kings--Hants,Kings--Hants,preliminary,préliminaires,Blois,,Kody,Liberal,Libéral,20807,43.3,0,48035
12007,Kings--Hants,Kings--Hants,preliminary,préliminaires,Dodge,,Stacey,VCP,CAC,118,.2,0,48035
12007,Kings--Hants,Kings--Hants,preliminary,préliminaires,MacQuarrie,,Martha,Conservative,Conservateur,11905,24.8,0,48035
12007,Kings--Hants,Kings--Hants,preliminary,préliminaires,Schneider,,Stephen,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8243,17.2,0,48035
12007,Kings--Hants,Kings--Hants,preliminary,préliminaires,Southall,,Matthew,People's Party,Parti populaire,786,1.6,0,48035
12007,Kings--Hants,Kings--Hants,preliminary,préliminaires,Tan,,Nicholas,Parti Rhinocéros Party,Parti Rhinocéros Party,147,.3,0,48035
12007,Kings--Hants,Kings--Hants,validated,validés,Anderson,,Brogan,Green Party,Parti Vert,6029,12.6,327,48363
12007,Kings--Hants,Kings--Hants,validated,validés,Blois,,Kody,Liberal,Libéral,20806,43.3,327,48363
12007,Kings--Hants,Kings--Hants,validated,validés,Dodge,,Stacey,VCP,CAC,118,.2,327,48363
12007,Kings--Hants,Kings--Hants,validated,validés,MacQuarrie,,Martha,Conservative,Conservateur,11905,24.8,327,48363
12007,Kings--Hants,Kings--Hants,validated,validés,Schneider,,Stephen,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8254,17.2,327,48363
12007,Kings--Hants,Kings--Hants,validated,validés,Southall,,Matthew,People's Party,Parti populaire,786,1.6,327,48363
12007,Kings--Hants,Kings--Hants,validated,validés,Tan,,Nicholas,Parti Rhinocéros Party,Parti Rhinocéros Party,138,.3,327,48363
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,preliminary,préliminaires,Copley,,Kevin,Conservative,Conservateur,11224,22.6,0,49563
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,preliminary,préliminaires,Edmonds,,Anthony,Green Party,Parti Vert,5743,11.6,0,49563
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,preliminary,préliminaires,Hogg,,Sybil,People's Party,Parti populaire,819,1.7,0,49563
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,preliminary,préliminaires,Samson,,Darrell,Liberal,Libéral,19920,40.2,0,49563
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,preliminary,préliminaires,Stickland,,Matt,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,11857,23.9,0,49563
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,validated,validés,Copley,,Kevin,Conservative,Conservateur,11211,22.6,320,49857
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,validated,validés,Edmonds,,Anthony,Green Party,Parti Vert,5725,11.6,320,49857
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,validated,validés,Hogg,,Sybil,People's Party,Parti populaire,816,1.6,320,49857
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,validated,validés,Samson,,Darrell,Liberal,Libéral,19925,40.2,320,49857
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,validated,validés,Stickland,,Matt,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,11860,23.9,320,49857
